board_seconds,host_first_seen_seconds,target,measured
168.819,57764.362366183,2.729,2.73
168.869,57764.462412982,2.735,2.74
168.919,57764.462412982,2.735,2.767
168.969,57764.5626662,2.735,2.796
169.019,57764.5626662,2.735,2.808
169.069,57764.662012792,2.735,2.822
169.119,57764.662012792,2.735,2.852
169.169,57764.762833297,2.735,2.891
169.219,57764.762833297,2.735,2.906
169.269,57764.863108101,2.735,2.949
169.319,57764.863108101,2.735,2.958
169.369,57764.963154717,2.735,2.974
169.419,57764.963154717,2.735,3.023
169.469,57765.063140767,2.735,3.041
169.519,57765.063140767,2.735,3.061
169.569,57765.163457704,2.735,3.11
169.619,57765.163457704,2.735,3.121
169.669,57765.264023215,2.735,3.135
169.719,57765.264023215,2.735,3.179
169.769,57765.364336652,2.735,3.191
169.819,57765.364336652,2.735,3.209
169.869,57765.464653007,2.735,3.25
169.919,57765.464653007,2.735,3.261
169.969,57765.616538405,2.735,3.271
170.019,57765.616538405,2.735,3.282
